alpha b0 d sigma tau Gmean Gstd
3.4 1.249 1 0.5 5 0.0314278 0.0113428
3.4 1.249 1 0.5 5.5 0.0307461 0.0119488

3.5 1.249 1 0.5 0 0.0498735 0.000429642
3.5 1.249 1 0.5 0.5 0.0455236 0.00308959
3.5 1.249 1 0.5 1 0.0415704 0.00428948
3.5 1.249 1 0.5 1.5 0.0384636 0.0056852
3.5 1.249 1 0.5 2 0.0365503 0.0067265
3.5 1.249 1 0.5 2.5 0.0353167 0.00774192
3.5 1.249 1 0.5 3 0.0336476 0.00821131
3.5 1.249 1 0.5 3.5 0.0330609 0.00876018
3.5 1.249 1 0.5 4 0.0318885 0.00926962
3.5 1.249 1 0.5 4.5 0.0315463 0.0104972
3.5 1.249 1 0.5 5 0.0311225 0.0109749
3.5 1.249 1 0.5 5.5 0.0299822 0.0116542

3.6 1.249 1 0.5 0 0.0487798 0.000426934
3.6 1.249 1 0.5 0.5 0.044545 0.00285207
3.6 1.249 1 0.5 1 0.0405687 0.00436843
3.6 1.249 1 0.5 1.5 0.0381423 0.00546307
3.6 1.249 1 0.5 2 0.0357934 0.00638946
3.6 1.249 1 0.5 2.5 0.0344387 0.00729668
3.6 1.249 1 0.5 3 0.0328877 0.00809053
3.6 1.249 1 0.5 3.5 0.0324681 0.00855383
3.6 1.249 1 0.5 4 0.0320411 0.00957699
3.6 1.249 1 0.5 4.5 0.0309827 0.0101946
3.6 1.249 1 0.5 5 0.0295587 0.0109288
3.6 1.249 1 0.5 5.5 0.0288795 0.0120895

3.7 1.249 1 0.5 0 0.0477202 0.000451945
3.7 1.249 1 0.5 0.5 0.0437251 0.00289637
3.7 1.249 1 0.5 1 0.0401984 0.00415602
3.7 1.249 1 0.5 1.5 0.0371174 0.00531929
3.7 1.249 1 0.5 2 0.0350746 0.00640139
3.7 1.249 1 0.5 2.5 0.0337708 0.00738171
3.7 1.249 1 0.5 3 0.0325485 0.00783287
3.7 1.249 1 0.5 3.5 0.0319328 0.00875718
3.7 1.249 1 0.5 4 0.0311231 0.00907391
3.7 1.249 1 0.5 4.5 0.0303877 0.00964904
3.7 1.249 1 0.5 5 0.0305611 0.0104974
3.7 1.249 1 0.5 5.5 0.0288653 0.0114057

3.8 1.249 1 0.5 0 0.0467435 0.000416829
3.8 1.249 1 0.5 0.5 0.0430328 0.00285049
3.8 1.249 1 0.5 1 0.0394073 0.00425221
3.8 1.249 1 0.5 1.5 0.0362328 0.0053137
3.8 1.249 1 0.5 2 0.034465 0.00622052
3.8 1.249 1 0.5 2.5 0.0331615 0.00680289
3.8 1.249 1 0.5 3 0.0317446 0.00776336
3.8 1.249 1 0.5 3.5 0.0312364 0.00853742
3.8 1.249 1 0.5 4 0.0299254 0.00941132
3.8 1.249 1 0.5 4.5 0.0298416 0.00965639
3.8 1.249 1 0.5 5 0.0297121 0.0104911
3.8 1.249 1 0.5 5.5 0.0291185 0.0110552

3.9 1.249 1 0.5 0 0.0457516 0.00044831
3.9 1.249 1 0.5 0.5 0.0420584 0.00283732
3.9 1.249 1 0.5 1 0.0387326 0.00397616
3.9 1.249 1 0.5 1.5 0.0362032 0.00504658
3.9 1.249 1 0.5 2 0.0341185 0.00600132
3.9 1.249 1 0.5 2.5 0.0324266 0.00684283
3.9 1.249 1 0.5 3 0.0309174 0.00768221
3.9 1.249 1 0.5 3.5 0.0303032 0.00825452
3.9 1.249 1 0.5 4 0.028994 0.00891705
3.9 1.249 1 0.5 4.5 0.0295764 0.00941011
3.9 1.249 1 0.5 5 0.0286863 0.00999292
3.9 1.249 1 0.5 5.5 0.0282341 0.0112004

4 1.249 1 0.5 0 0.0448646 0.000422707
4 1.249 1 0.5 0.5 0.0412771 0.00270286
4 1.249 1 0.5 1 0.0382382 0.00399594
4 1.249 1 0.5 1.5 0.0352427 0.00476669
4 1.249 1 0.5 2 0.033093 0.0056373
4 1.249 1 0.5 2.5 0.0323711 0.00674077
4 1.249 1 0.5 3 0.0310275 0.00747105
4 1.249 1 0.5 3.5 0.0300121 0.00826284
