alpha b0 d sigma tau Gmean Gstd
5.8 1.1 1 1 1 -0.00172241 0.00642193
5.8 1.3 1 1 1 0.028967 0.00422477
5.8 1.5 1 1 1 0.0538143 0.00353861
5.8 1.7 1 1 1 0.0742802 0.00301413
5.8 1.9 1 1 1 0.0913736 0.00277111

5.9 1.1 1 1 1 -0.000333191 0.0055872
5.9 1.3 1 1 1 0.0297722 0.00444313
5.9 1.5 1 1 1 0.0529515 0.00375981
5.9 1.7 1 1 1 0.073197 0.00338115
5.9 1.9 1 1 1 0.0903783 0.00241589

6 1.1 1 1 1 -9.31299e-06 0.00598142
6 1.3 1 1 1 0.0285086 0.00456595
6 1.5 1 1 1 0.0524129 0.00392558
6 1.7 1 1 1 0.0722638 0.00305451
6 1.9 1 1 1 0.0891751 0.00261618

6.1 1.1 1 1 1 -0.000832082 0.00612939
6.1 1.3 1 1 1 0.0288675 0.00415545
6.1 1.5 1 1 1 0.0516752 0.00328406
6.1 1.7 1 1 1 0.0708387 0.0031913
6.1 1.9 1 1 1 0.0880001 0.0025678

6.2 1.1 1 1 1 0.000172191 0.00576586
6.2 1.3 1 1 1 0.0280084 0.00459505
6.2 1.5 1 1 1 0.0511533 0.00364843
6.2 1.7 1 1 1 0.0698004 0.00307644
6.2 1.9 1 1 1 0.0861123 0.00258607

6.3 1.1 1 1 1 -0.000249674 0.00549828
6.3 1.3 1 1 1 0.0279658 0.00410039
6.3 1.5 1 1 1 0.0501231 0.00318378
6.3 1.7 1 1 1 0.0689585 0.00292811
6.3 1.9 1 1 1 0.0859113 0.00260378

6.4 1.1 1 1 1 0.000820242 0.00534503
6.4 1.3 1 1 1 0.0280969 0.00404831
6.4 1.5 1 1 1 0.0493935 0.00367656
6.4 1.7 1 1 1 0.0677419 0.00300142
6.4 1.9 1 1 1 0.0846047 0.00247514

6.5 1.1 1 1 1 3.57197e-05 0.00549162
6.5 1.3 1 1 1 0.0273166 0.00457686
6.5 1.5 1 1 1 0.04839 0.00317857
