alpha b0 d sigma tau Gmean Gstd
1.1 1.25 1 0.4 1 0.0984211 0.00522313
1.1 1.25 1 0.45 1 0.0953559 0.00584794
1.1 1.25 1 0.5 1 0.0919111 0.0066322
1.1 1.25 1 0.55 1 0.0879327 0.00729678
1.1 1.25 1 0.6 1 0.0837352 0.00804277
1.1 1.25 1 0.65 1 0.0786588 0.00874088
1.1 1.25 1 0.7 1 0.0733315 0.00943629
1.1 1.25 1 0.75 1 0.0672396 0.0104187
1.1 1.25 1 0.8 1 0.0608608 0.0111519
1.1 1.25 1 0.85 1 0.0532975 0.0120029
1.1 1.25 1 0.9 1 0.045295 0.0129274
1.1 1.25 1 0.95 1 0.0361663 0.0140261
1.1 1.25 1 1 1 0.0258699 0.0149962
1.1 1.25 1 1.05 1 0.0148682 0.0159922
1.1 1.25 1 1.1 1 0.00187744 0.0174656
1.1 1.25 1 1.15 1 -0.0125279 0.0185076
1.1 1.25 1 1.2 1 -0.0294344 0.0202497

1.2 1.25 1 0 1 0.103754 3.59978e-08
1.2 1.25 1 0.05 1 0.1036 0.000600481
1.2 1.25 1 0.1 1 0.10313 0.00119868
1.2 1.25 1 0.15 1 0.102369 0.00181075
1.2 1.25 1 0.2 1 0.101279 0.00239509
1.2 1.25 1 0.25 1 0.0998651 0.0030231
1.2 1.25 1 0.3 1 0.0980564 0.00367632
1.2 1.25 1 0.35 1 0.0959744 0.00426389
1.2 1.25 1 0.4 1 0.0935027 0.00490203
1.2 1.25 1 0.45 1 0.0906725 0.00555034
1.2 1.25 1 0.5 1 0.0874221 0.00626949
1.2 1.25 1 0.55 1 0.0839715 0.00686251
1.2 1.25 1 0.6 1 0.0797936 0.00760076
1.2 1.25 1 0.65 1 0.075389 0.00828795
1.2 1.25 1 0.7 1 0.0702819 0.0090997
1.2 1.25 1 0.75 1 0.064797 0.00985443
1.2 1.25 1 0.8 1 0.0585818 0.0106574
1.2 1.25 1 0.85 1 0.0515913 0.0115441
1.2 1.25 1 0.9 1 0.0440154 0.0122875
1.2 1.25 1 0.95 1 0.0357684 0.0131318
1.2 1.25 1 1 1 0.0261271 0.0143352
1.2 1.25 1 1.05 1 0.015718 0.0154884
1.2 1.25 1 1.1 1 0.00337762 0.0167429
1.2 1.25 1 1.15 1 -0.0107332 0.0177754
1.2 1.25 1 1.2 1 -0.0265562 0.0196791

1.3 1.25 1 0 1 0.0990592 -nan
1.3 1.25 1 0.05 1 0.0989081 0.000574171
1.3 1.25 1 0.1 1 0.0984712 0.00115539
1.3 1.25 1 0.15 1 0.0977472 0.00172171
1.3 1.25 1 0.2 1 0.0967344 0.00228865
1.3 1.25 1 0.25 1 0.0954714 0.00289434
1.3 1.25 1 0.3 1 0.0938133 0.00349052
1.3 1.25 1 0.35 1 0.0917856 0.00404211
1.3 1.25 1 0.4 1 0.0896172 0.0046772
1.3 1.25 1 0.45 1 0.0868755 0.00528885
1.3 1.25 1 0.5 1 0.0838511 0.00590163
1.3 1.25 1 0.55 1 0.0805022 0.00662452
1.3 1.25 1 0.6 1 0.0767354 0.00726162
1.3 1.25 1 0.65 1 0.0726094 0.0079433
1.3 1.25 1 0.7 1 0.0678147 0.00872129
