sigma,init_a,final_awake_rate,replicate,worker_id
0.1,3.177312938897105,0.32489240901755523,1,7
0.1,3.177312938897105,0.8869134857646048,2,9
0.1,3.177312938897105,5.2317294539732915,3,8
0.1,3.177312938897105,11.773673373605307,4,14
0.1,3.177312938897105,1.8048081351144423,5,12
0.1,3.177312938897105,4.280499899666453,6,2
0.1,3.177312938897105,1.408452504298295,7,6
0.1,3.177312938897105,15.496679329466327,8,15
0.1,3.177312938897105,3.7273647739949554,9,4
0.1,3.177312938897105,1.0499189235617192,10,11
0.1,4.0,5.841376669473226,1,5
0.1,4.0,2.283708793030221,2,17
0.1,4.0,4.1493613272527865,3,16
0.1,4.0,6.069488767339668,4,13
0.1,4.0,2.202939100676364,5,3
0.1,4.0,0.44210385357397886,6,10
0.1,4.0,3.3929887340729907,7,8
0.1,4.0,0.6015275320925522,8,14
0.1,4.0,0.25348392552674653,9,2
0.1,4.0,8.353401985222845,10,9
0.1,5.035701647176751,4.763513114336449,1,7
0.1,5.035701647176751,2.579573499295946,2,15
0.1,5.035701647176751,25.302348402324103,3,12
0.1,5.035701647176751,9.58871702861238,4,5
0.1,5.035701647176751,1.2007050409530002,5,6
0.1,5.035701647176751,1.9069036676242723,6,4
0.1,5.035701647176751,1.940922904557384,7,11
0.1,5.035701647176751,6.585374757675862,8,16
0.1,5.035701647176751,4.444520142035845,9,17
0.1,5.035701647176751,13.926697193937326,10,13
0.1,6.339572769844395,0.5051398842385341,1,10
0.1,6.339572769844395,4.413519211738685,2,3
0.1,6.339572769844395,12.234375894975312,3,15
0.1,6.339572769844395,0.49901910802442,4,2
0.1,6.339572769844395,2.492794484064762,5,7
0.1,6.339572769844395,15.68168469131896,6,8
0.1,6.339572769844395,6.320982094995057,7,9
0.1,6.339572769844395,0.771433049356482,8,12
0.1,6.339572769844395,10.952289073102223,9,14
0.1,6.339572769844395,2.030301670376636,10,5
0.1,7.98104925987541,9.992947651879335,1,16
0.1,7.98104925987541,1.4283504110997065,2,6
0.1,7.98104925987541,20.537283083646813,3,11
