alpha b d0 sigma tau Gmean Gstd
6.5 1.25 1 0.2 0.5 0.0307792 0.000594791
6.5 1.25 1 0.4 0.5 0.0334767 0.00127416
6.5 1.25 1 0.6 0.5 0.0378759 0.00192266
6.5 1.25 1 0.8 0.5 0.0439291 0.00268345
6.5 1.25 1 1 0.5 0.0522309 0.00351215

6.6 1.25 1 0 0.5 0.0295425 6.20396e-09
6.6 1.25 1 0.2 0.5 0.030412 0.000602044
6.6 1.25 1 0.4 0.5 0.0330812 0.00122852
6.6 1.25 1 0.6 0.5 0.0373859 0.00194005
6.6 1.25 1 0.8 0.5 0.043413 0.00270584
6.6 1.25 1 1 0.5 0.0513786 0.00345159

6.7 1.25 1 0 0.5 0.0291584 4.64496e-09
6.7 1.25 1 0.2 0.5 0.0299932 0.00060495
6.7 1.25 1 0.4 0.5 0.0326055 0.00123874
6.7 1.25 1 0.6 0.5 0.0369369 0.00191239
6.7 1.25 1 0.8 0.5 0.0429947 0.00267923
6.7 1.25 1 1 0.5 0.0507296 0.00338547

6.8 1.25 1 0 0.5 0.0287842 -nan
6.8 1.25 1 0.2 0.5 0.029595 0.000607682
6.8 1.25 1 0.4 0.5 0.0321779 0.00120484
6.8 1.25 1 0.6 0.5 0.0363324 0.00193329
6.8 1.25 1 0.8 0.5 0.0423121 0.00258238
6.8 1.25 1 1 0.5 0.0501566 0.00346272

6.9 1.25 1 0 0.5 0.0284195 3.85403e-09
6.9 1.25 1 0.2 0.5 0.0292421 0.000606621
6.9 1.25 1 0.4 0.5 0.031736 0.00122721
6.9 1.25 1 0.6 0.5 0.0360425 0.0018472
6.9 1.25 1 0.8 0.5 0.0421058 0.00260477
6.9 1.25 1 1 0.5 0.0498063 0.00331299

7 1.25 1 0 0.5 0.028064 -nan
7 1.25 1 0.2 0.5 0.0288851 0.000595686
7 1.25 1 0.4 0.5 0.0314115 0.00121059
7 1.25 1 0.6 0.5 0.0355481 0.00190417
7 1.25 1 0.8 0.5 0.0413356 0.00265158
7 1.25 1 1 0.5 0.0492774 0.0033705

7.1 1.25 1 0 0.5 0.0277173 -nan
7.1 1.25 1 0.2 0.5 0.0285482 0.00057357
7.1 1.25 1 0.4 0.5 0.0310281 0.00121871
7.1 1.25 1 0.6 0.5 0.0352351 0.00185958
7.1 1.25 1 0.8 0.5 0.0408575 0.00259793
7.1 1.25 1 1 0.5 0.0484947 0.00337684

7.2 1.25 1 0 0.5 0.0273791 4.3309e-09
7.2 1.25 1 0.2 0.5 0.0282079 0.000575952
7.2 1.25 1 0.4 0.5 0.0306203 0.00113633
7.2 1.25 1 0.6 0.5 0.0347039 0.00182187
7.2 1.25 1 0.8 0.5 0.0405884 0.00259581
7.2 1.25 1 1 0.5 0.0478707 0.00337892

7.3 1.25 1 0 0.5 0.0270491 4.74883e-09
7.3 1.25 1 0.2 0.5 0.0278738 0.000546437
7.3 1.25 1 0.4 0.5 0.0303026 0.00114591
7.3 1.25 1 0.6 0.5 0.0343123 0.00179378
7.3 1.25 1 0.8 0.5 0.0400456 0.00247093
7.3 1.25 1 1 0.5 0.0473776 0.0032463

7.4 1.25 1 0 0.5 0.0267271 2.71525e-09
7.4 1.25 1 0.2 0.5 0.027501 0.000571912
7.4 1.25 1 0.4 0.5 0.029865 0.00111288
7.4 1.25 1 0.6 0.5 0.0338534 0.0018304
7.4 1.25 1 0.8 0.5 0.039584 0.00254428
7.4 1.25 1 1 0.5 0.0472234 0.00323836

7.5 1.25 1 0 0.5 0.0264126 -nan
7.5 1.25 1 0.2 0.5 0.0271995 0.000583974
7.5 1.25 1 0.4 0.5 0.0295862 0.00115457
7.5 1.25 1 0.6 0.5 0.0335607 0.00179314
7.5 1.25 1 0.8 0.5 0.0391394 0.00248411
7.5 1.25 1 1 0.5 0.046685 0.00326566

7.6 1.25 1 0 0.5 0.0261055 -nan
7.6 1.25 1 0.2 0.5 0.026927 0.00055215
7.6 1.25 1 0.4 0.5 0.0292442 0.00112235
7.6 1.25 1 0.6 0.5 0.0331434 0.00176463
7.6 1.25 1 0.8 0.5 0.0387909 0.00241013
7.6 1.25 1 1 0.5 0.0461174 0.00326164

7.7 1.25 1 0 0.5 0.0258056 4.86165e-09
7.7 1.25 1 0.2 0.5 0.026586 0.000552239
7.7 1.25 1 0.4 0.5 0.0289365 0.00113892
7.7 1.25 1 0.6 0.5 0.0328336 0.00174923
7.7 1.25 1 0.8 0.5 0.0381183 0.00243218
7.7 1.25 1 1 0.5 0.0456002 0.00326854

7.8 1.25 1 0 0.5 0.0255124 -nan
7.8 1.25 1 0.2 0.5 0.0262884 0.000540353
7.8 1.25 1 0.4 0.5 0.0285844 0.00114941
7.8 1.25 1 0.6 0.5 0.032481 0.00173349
7.8 1.25 1 0.8 0.5 0.0380099 0.00235015
7.8 1.25 1 1 0.5 0.0451337 0.00327475

7.9 1.25 1 0 0.5 0.0252259 -nan
7.9 1.25 1 0.2 0.5 0.0259771 0.000534872
7.9 1.25 1 0.4 0.5 0.0282657 0.0010898
7.9 1.25 1 0.6 0.5 0.0321415 0.00168361
7.9 1.25 1 0.8 0.5 0.0376128 0.00239238
7.9 1.25 1 1 0.5 0.0447398 0.00317741

8 1.25 1 0 0.5 0.0249458 4.82808e-09
