1.2  4.6 1.02127e-08 6.6074e-06
1.2  4.7 1.86538e-06 0.000635836
1.2  4.8 1.2358e-11 5.40297e-09
1.2  4.9 9.20616e-13 6.77654e-10
1.2  5 1.36221e-08 1.42984e-05

1.4  0.1 0.184879 0.0475999
1.4  0.2 0.169307 0.0651617
1.4  0.3 0.153714 0.076722
1.4  0.4 0.137863 0.0845984
1.4  0.5 0.122137 0.0895801
1.4  0.6 0.107257 0.0924207
1.4  0.7 0.0928514 0.0930839
1.4  0.8 0.0793879 0.0920854
1.4  0.9 0.0666058 0.0896559
1.4  1 0.0550909 0.0857682
1.4  1.1 0.044838 0.0810587
1.4  1.2 0.0343862 0.0737891
1.4  1.3 0.0251617 0.0654735
1.4  1.4 0.0178479 0.0569395
1.4  1.5 0.0118176 0.0475151
1.4  1.6 0.00659047 0.0361941
1.4  1.7 0.00350955 0.0270681
1.4  1.8 0.00220839 0.0219946
1.4  1.9 0.00120037 0.0162935
1.4  2 0.000581282 0.0113154
1.4  2.1 0.000466158 0.0104123
1.4  2.2 0.000187751 0.00671333
1.4  2.3 0.000100383 0.00509228
1.4  2.4 7.01271e-05 0.00406266
1.4  2.5 5.11021e-05 0.00340955
1.4  2.6 7.30172e-06 0.000931509
1.4  2.7 3.3184e-05 0.0029768
1.4  2.8 5.45152e-08 1.88245e-05
1.4  2.9 9.93655e-06 0.00159021
1.4  3 4.19768e-06 0.000810033
1.4  3.1 1.79379e-05 0.00218013
1.4  3.2 1.93333e-06 0.000713349
1.4  3.3 1.04312e-10 4.01576e-08
1.4  3.4 8.3097e-06 0.00154731
1.4  3.5 1.9392e-07 0.000136272
1.4  3.6 1.60782e-06 0.000441505
1.4  3.7 6.5676e-08 2.94482e-05
1.4  3.8 2.1689e-06 0.000627063
1.4  3.9 1.31877e-05 0.00196943
1.4  4 5.97418e-10 2.56748e-07
1.4  4.1 9.51508e-15 3.94332e-12
1.4  4.2 5.08719e-06 0.00124558
1.4  4.3 1.65761e-06 0.000714872
1.4  4.4 3.57287e-20 1.98349e-17
1.4  4.5 1.48348e-19 1.30184e-16
1.4  4.6 1.17184e-18 4.70566e-16
1.4  4.7 7.15626e-10 3.93057e-07
1.4  4.8 4.65382e-13 2.25665e-10
1.4  4.9 2.27065e-23 1.42784e-20
1.4  5 3.64867e-11 1.63812e-08

1.6  0.1 0.18534 0.0464446
